Exercice;Fonctions;Recette/Prestations ;Recette/Transferts ;Recette/Dette ;Recette/Total ;Recette/Prélèvements ;Recette/TotalAvecPrélèvement ;Dépenses/Personnel ;Dépenses/Fonctionnement ;Dépenses/Transferts ;Dépenses/Dette ;Dépenses/Total ;Dépenses/Prélèvements ;Dépenses/TotalAprèsPrélèvements
2019;059 Assurances;0.0;30000.0;0.0;30000.0;0.0;30000.0;0.0;510000.0;0.0;0.0;510000.0;0.0;510000.0
2019;123 Administration générale;412150.0;6198858.6;125000.0;6736008.6;0.0;6736008.6;35299612.24;3991722.38;160935.63;1251379.12;40703649.37;0.0;40703649.37
2019;139 Services généraux;528095.95;308638.98;21000.0;857734.93;0.0;857734.93;1864516.09;7811132.37;548500.0;1908908.3;12133056.76;0.0;12133056.76
2019;169 Aide aux pays en voie de développement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;399 Justice - Police;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15000.0;22339029.5;74258.13;22428287.63;0.0;22428287.63
2019;599 Commerce - Industrie;1226097.24;440192.46;2697983.4;4364273.1;0.0;4364273.1;974987.03;1807952.14;804310.04;21721.5;3608970.71;0.0;3608970.71
2019;759 Enseignement pour handicapés;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;789 Education Popul. et Arts;2076150.0;1839418.06;0.0;3915568.06;0.0;3915568.06;7809299.1;2554779.0;3710663.67;1815133.07;15889874.84;0.0;15889874.84
2019;874 Alimentation - Eau;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;876 Désinfect.-Nett.-Immond.;122239.28;349232.71;0.0;471471.99;0.0;471471.99;2911960.22;8832456.16;1600.0;79267.11;11825283.49;0.0;11825283.49
2019;879 Cimetières-Protec.environ.;315000.0;267598.93;0.0;582598.93;0.0;582598.93;1001339.5;229400.0;28000.0;81904.91;1340644.41;0.0;1340644.41
2017;129 Patrimoine privé;721950.0;601977.57;840.09;1324767.66;0.0;1324767.66;7698747.75;349956.31;1800.0;937572.78;8988076.84;0.0;8988076.84
2017;699 Agriculture;16660.0;0.0;0.0;16660.0;0.0;16660.0;0.0;0.0;1200.0;0.0;1200.0;0.0;1200.0
2017;759 Enseignement pour handicapés;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017;767 Bibliothèques publiques;60500.0;724682.83;0.0;785182.83;0.0;785182.83;1395719.15;180322.5;0.0;17820.31;1593861.96;0.0;1593861.96
2017;789 Education Popul. et Arts;2039300.0;1416843.29;0.0;3456143.29;0.0;3456143.29;7033884.33;2274412.76;3420030.42;1857816.43;14586143.94;0.0;14586143.94
2017;859 Emploi;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017;872 Santé et hygiène;3250.0;10000.0;0.0;13250.0;0.0;13250.0;37102.17;34200.0;26240.0;0.0;97542.17;0.0;97542.17
2017;879 Cimetières-Protec.environ.;300000.0;223622.11;0.0;523622.11;0.0;523622.11;903455.54;231700.0;23750.0;74086.12;1232991.66;0.0;1232991.66
2017;999 Total exercice propre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2016;029 Fonds;0.0;38910837.93;0.0;38910837.93;0.0;38910837.93;0.0;0.0;0.0;0.0;0.0;500000.0;500000.0
2016;059 Assurances;0.0;5000.0;0.0;5000.0;0.0;5000.0;0.0;395000.0;0.0;0.0;395000.0;0.0;395000.0
2016;139 Services généraux;482150.0;292994.73;21000.0;796144.73;0.0;796144.73;1894400.37;7210117.82;593500.0;1723157.63;11421175.82;0.0;11421175.82
2016;369 Pompiers;20000.0;1008537.64;0.0;1028537.64;0.0;1028537.64;0.0;33750.0;9949141.38;1066261.2;11049152.58;0.0;11049152.58
2016;499 Communic. - Voirie - Cours D'eau;44457.62;2533400.57;4910.19;2582768.38;0.0;2582768.38;8572357.57;2308228.5;5000.0;3225710.28;14111296.35;0.0;14111296.35
2016;759 Enseignement pour handicapés;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2016;767 Bibliothèques publiques;65500.0;763617.05;0.0;829117.05;0.0;829117.05;1417757.18;182340.0;0.0;18903.74;1619000.92;0.0;1619000.92
2016;789 Education Popul. et Arts;2253766.48;1361563.95;0.0;3615330.43;0.0;3615330.43;7161788.72;2195545.0;3195998.17;1854530.09;14407861.98;0.0;14407861.98
2016;799 Cultes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45000.0;1060000.0;250416.73;1355416.73;0.0;1355416.73
2016;849 Aide sociale et familiale;4650.0;2322347.59;0.0;2326997.59;0.0;2326997.59;2407975.27;291729.49;2142899.95;168902.35;5011507.06;0.0;5011507.06
2016;859 Emploi;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2016;879 Cimetières-Protec.environ.;300000.0;210004.14;0.0;510004.14;0.0;510004.14;896792.28;195825.0;22500.0;79572.64;1194689.92;0.0;1194689.92
2015;019 Dette générale;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2015;029 Fonds;0.0;36744561.03;0.0;36744561.03;0.0;36744561.03;0.0;0.0;0.0;0.0;0.0;76242.37;76242.37
